Rank,Query_RBP,Official_HGNC_Symbol,Full_Approved_Name
1,TIA1,TIA1,TIA1 cytotoxic granule associated RNA binding protein
2,FUS,FUS,FUS RNA binding protein
3,G3BP1,G3BP1,G3BP stress granule assembly factor 1
4,METTL3,METTL3,"methyltransferase 3, N6-adenosine-methyltransferase complex catalytic subunit"
5,DDX3X,DDX3X,DEAD-box helicase 3 X-linked
6,SF1,SF1,splicing factor 1
7,EEF1A,METTL13,[Alias Match] Name not found
8,PCBP2,PCBP2,poly(rC) binding protein 2
9,EIF5A,EIF5A,eukaryotic translation initiation factor 5A
10,FMR1,FMR1,fragile X messenger ribonucleoprotein 1
11,NONO,NONO,non-POU domain containing octamer binding
12,XPO1,XPO1,exportin 1
13,HNRNPA1,HNRNPA1,heterogeneous nuclear ribonucleoprotein A1
14,PABPC1,PABPC1,poly(A) binding protein cytoplasmic 1
15,SRSF1,SRSF1,serine and arginine rich splicing factor 1
16,PCBP1,PCBP1,poly(rC) binding protein 1
17,HNRNPA2B1,HNRNPA2B1,heterogeneous nuclear ribonucleoprotein A2/B1
18,ZFP36,ZFP36,ZFP36 zinc finger CCCH-type
19,IGF2BP2,IGF2BP2,insulin like growth factor 2 mRNA binding protein 2
20,SFPQ,SFPQ,splicing factor proline and glutamine rich
21,HNRNPK,HNRNPK,heterogeneous nuclear ribonucleoprotein K
22,YBX1,YBX1,Y-box binding protein 1
23,UNK,UNK,unk zinc finger
24,EWSR1,EWSR1,EWS RNA binding protein 1
25,SRSF2,SRSF2,serine and arginine rich splicing factor 2
26,IGF2BP1,IGF2BP1,insulin like growth factor 2 mRNA binding protein 1
27,BOLL,BOLL,boule RNA binding protein
28,IGF2BP3,IGF2BP3,insulin like growth factor 2 mRNA binding protein 3
29,ELAVL1,ELAVL1,ELAV like RNA binding protein 1
30,QKI,QKI,"QKI, KH domain containing RNA binding"
31,MSI1,MSI1,musashi RNA binding protein 1
32,SF3B1,SF3B1,splicing factor 3b subunit 1
33,MBNL1,MBNL1,muscleblind like splicing regulator 1
34,TARDBP,TARDBP,TAR DNA binding protein
35,ILF2,ILF2,interleukin enhancer binding factor 2
36,EIF4A1,EIF4A1,eukaryotic translation initiation factor 4A1
37,LIN28A,LIN28A,lin-28 RNA binding posttranscriptional regulator A
38,HNRNPU,HNRNPU,heterogeneous nuclear ribonucleoprotein U
39,HNRNPC,HNRNPC,heterogeneous nuclear ribonucleoprotein C
40,FXR1,FXR1,FMR1 autosomal homolog 1
41,RBM3,RBM3,RNA binding motif protein 3
42,MATR3,MATR3,matrin 3
43,HNRNPH1,HNRNPH1,heterogeneous nuclear ribonucleoprotein H1
44,EIF4G2,EIF4G2,eukaryotic translation initiation factor 4 gamma 2
45,KHSRP,KHSRP,KH-type splicing regulatory protein
46,PABPN1,PABPN1,poly(A) binding protein nuclear 1
47,U2AF2,U2AF2,U2 small nuclear RNA auxiliary factor 2
48,PUM1,PUM1,pumilio RNA binding family member 1
49,FUBP1,FUBP1,far upstream element binding protein 1
50,RBM24,RBM24,RNA binding motif protein 24
51,PABPC4,PABPC4,poly(A) binding protein cytoplasmic 4
52,RALY,RALY,RALY heterogeneous nuclear ribonucleoprotein
53,SRSF10,SRSF10,serine and arginine rich splicing factor 10
54,PUM2,PUM2,pumilio RNA binding family member 2
55,PUF60,PUF60,poly(U) binding splicing factor 60
56,SRSF5,SRSF5,serine and arginine rich splicing factor 5
57,HNRNPM,HNRNPM,heterogeneous nuclear ribonucleoprotein M
