RBP,PMID,Virus
BOLL,36598610,Anthonomus grandis iflavirus 1
BOLL,1522049,Autographa californica baculovirus
BOLL,1522049,Autographa californica multiple nuclear polyhedrosis virus
BOLL,17347770,CIV virion protein extract
BOLL,35665839,Cauliflower Mosaic Virus 35S
BOLL,11402862,Chilo iridescent virus
BOLL,11765918,Chilo iridescent virus
BOLL,17347770,Chilo iridescent virus
BOLL,21994449,Chilo iridescent virus
BOLL,22828780,Chilo iridescent virus
BOLL,34659302,Cotton Leafroll Dwarf Virus
BOLL,24634169,Cotton leaf curl virus disease
BOLL,24006816,Gemini virus
BOLL,11765918,Iridovirus
BOLL,17347770,Iridovirus
BOLL,22828780,Iridovirus
BOLL,11765918,Ranavirus
BOLL,1430055,Tomato spotted wilt virus
BOLL,18248369,baculovirus
BOLL,11402862,boll weevil
BOLL,17347770,boll weevil
BOLL,21994449,boll weevil
BOLL,22828780,boll weevil
BOLL,26728504,cauliflower mosaic virus
BOLL,26779246,cauliflower mosaic virus
BOLL,30117653,cauliflower mosaic virus
BOLL,35336652,cauliflower mosaic virus
BOLL,15473310,commelina yellow mottle virus
BOLL,1522049,cotton boll weevil
BOLL,11402862,cotton boll weevil
BOLL,11765918,cotton boll weevil
BOLL,17347770,cotton boll weevil
BOLL,18248369,cotton boll weevil
BOLL,21994449,cotton boll weevil
BOLL,35665839,cotton boll weevil
BOLL,36598610,cotton boll weevil
BOLL,22002133,cotton leaf  curl virus
BOLL,22002133,cotton leaf curl virus
BOLL,24634169,cotton leaf curl virus
BOLL,34659302,cotton leafroll dwarf virus
BOLL,11765918,frog virus 3
BOLL,36598610,iflavirus
BOLL,36598610,iflaviruses
BOLL,22002133,leaf curl virus
BOLL,5092854,nuclear polyhedrosis virus
BOLL,1430055,tomato spotted wilt virus
CELF1,28915562,Epstein-Barr virus
CELF1,32086392,adeno-associated virus
CELF1,32086392,rAAV
CNOT4,29593045,Adenoviruses
CNOT4,28536288,IAV
CNOT4,28536288,Influenza A Virus
CNOT4,28536288,Influenza A virus
CNOT4,28536288,Influenza virus
CNOT4,29593045,adenovirus
CNOT4,29593045,adenoviruses
CNOT4,28536288,influenza A virus
CNOT4,28536288,influenza virus
CPEB1,27775709,HCMV
CPEB1,27775709,HCMV) infection
CPEB1,19161537,HPV
CPEB1,20144904,HPV
CPEB1,20144904,HPV-16
CPEB1,27775709,HSV-2
CPEB1,41909681,adeno-associated virus
CPEB1,42334613,adeno-associated virus
CPEB1,26627607,hepatitis C virus
CPEB1,27775709,herpes simplex virus-2
CPEB1,27775709,human cytomegalovirus
CPEB1,19161537,human papillomavirus
CPEB1,20144904,human papillomavirus type 16
CPEB2,41219382,adeno-associated virus
CPEB4,24927871,adenovirus
CPEB4,26627607,hepatitis C virus
DAZAP1,41077352,HPV11
DAZAP1,41077352,HPV6
DAZAP1,32422351,ZIKV
DDX3X,41739885,African swine fever virus
DDX3X,41066426,Avian leukosis virus subgroup J
DDX3X,41617468,Coronavirus
DDX3X,25437271,DENV
DDX3X,31936642,DENV
DDX3X,38095733,DENV
DDX3X,21911577,DENV
DDX3X,25437271,DENV infection
DDX3X,32435411,DENV infection
DDX3X,29387631,Dengue Virus
DDX3X,32435411,Dengue Virus
DDX3X,25437271,Dengue virus
DDX3X,29387631,Dengue virus
DDX3X,21911577,Dengue virus
DDX3X,28516729,Duck Tembusu virus
DDX3X,39772141,Duck Tembusu virus
DDX3X,25466511,EBV
DDX3X,31123138,EBV
DDX3X,36845680,EBV
DDX3X,40220963,EBV
DDX3X,40913762,EBV
DDX3X,41060581,EBV
DDX3X,29971060,Enterovirus 71
DDX3X,25466511,Epstein-Barr virus
DDX3X,31123138,Epstein-Barr virus
DDX3X,35882439,Epstein-Barr virus
DDX3X,36201743,Epstein-Barr virus
DDX3X,36845680,Epstein-Barr virus
DDX3X,40220963,Epstein-Barr virus
DDX3X,40913762,Epstein-Barr virus
DDX3X,41060581,Epstein-Barr virus
DDX3X,41306545,Epstein-Barr virus
DDX3X,33401776,Flavivirus
DDX3X,23659451,HBV
DDX3X,23659451,HBV infection
DDX3X,32446036,HCV
DDX3X,20862261,HCV
DDX3X,23708292,HCV
DDX3X,25740981,HCV infection
DDX3X,20862261,HCV infection
DDX3X,23708292,HCV infection
DDX3X,20862261,HCV viruses
DDX3X,30910425,HIV
DDX3X,32446036,HIV
DDX3X,36695358,HIV
DDX3X,41617468,HIV
DDX3X,20300618,HIV
DDX3X,22174317,HIV
DDX3X,30910425,HIV-1
DDX3X,31575075,HIV-1
DDX3X,31690062,HIV-1
DDX3X,32446036,HIV-1
DDX3X,40429887,HIV-1
DDX3X,40874589,HIV-1
DDX3X,20300618,HIV-1
DDX3X,22174317,HIV-1
DDX3X,25056374,HPV
DDX3X,30563911,HPV
DDX3X,33830464,HPV
DDX3X,28148788,HSV-1
DDX3X,20862261,Hepatitis C virus
DDX3X,23708292,Hepatitis C virus
DDX3X,32446036,Hepatitis c virus
DDX3X,28148788,Herpes Simplex Virus 1
DDX3X,27381385,Human Coronavirus OC43
DDX3X,32446036,Human Immunodeficiency virus
DDX3X,33830464,Human Papillomavirus
DDX3X,27381385,Human coronaviruses
DDX3X,30563911,Human papillomavirus
DDX3X,33766561,IAV
DDX3X,33766561,Influenza A virus
DDX3X,33401776,JEV
DDX3X,33401776,Japanese encephalitis virus
DDX3X,36744958,Japanese encephalitis virus
DDX3X,40231822,Japanese encephalitis virus
DDX3X,29261807,LCMV
DDX3X,29146961,Leporipoxvirus
DDX3X,29146961,Myxoma virus
DDX3X,31057547,NDV
DDX3X,31057547,Newcastle disease virus
DDX3X,36744958,Newcastle disease virus
DDX3X,24380861,PRRSV) infection
DDX3X,37214906,Pseudorabies virus
DDX3X,31936642,RSV
DDX3X,41323147,Rotavirus
DDX3X,35647024,SARS-COV-2
DDX3X,33781803,SARS-CoV-2
DDX3X,35647024,SARS-CoV-2
DDX3X,36090095,SARS-CoV-2
DDX3X,36557962,SARS-CoV-2
DDX3X,36744958,SARS-CoV-2
DDX3X,36842152,SARS-CoV-2
DDX3X,36982856,SARS-CoV-2
DDX3X,41596323,SARS-CoV-2
DDX3X,41617468,SARS-CoV-2
DDX3X,33781803,SARS-CoV-2 infection
DDX3X,42051290,Sendai virus
DDX3X,24380861,Sendai virus
DDX3X,28964860,Singapore grouper iridovirus
DDX3X,31899305,Tembusu virus
DDX3X,41957805,Tembusu virus
DDX3X,37214906,VZV
DDX3X,37214906,Varicella zoster virus
DDX3X,31936642,WNV
DDX3X,30721061,WNV) infection
DDX3X,31936642,West Nile virus
DDX3X,36744958,West Nile virus
DDX3X,31936642,ZIKV
DDX3X,33401776,ZIKV
DDX3X,32787106,Zika
DDX3X,29899501,Zika virus
DDX3X,31936642,Zika virus
DDX3X,33401776,Zika virus
DDX3X,29899501,Zika viruses
DDX3X,35460172,adeno-associated virus
DDX3X,31057547,avian influenza virus
DDX3X,32787106,chikungunya
DDX3X,41617468,coronavirus
DDX3X,29387631,dengue
DDX3X,29899501,dengue
DDX3X,32787106,dengue
DDX3X,29387631,dengue virus
DDX3X,31936642,dengue virus
DDX3X,38095733,dengue virus
DDX3X,21911577,dengue virus
DDX3X,29387631,dengue virus capsid-interacting protein
DDX3X,36744958,duck Tembusu virus
DDX3X,29971060,enterovirus 71
DDX3X,36744958,fish rhabdovirus
DDX3X,28964860,grouper nervous necrosis virus infection
DDX3X,31575075,hPIV-3
DDX3X,31936642,hPIV-3
DDX3X,36744958,hepatitis B virus
DDX3X,23659451,hepatitis B virus
DDX3X,25424537,hepatitis C virus
DDX3X,36744958,hepatitis C virus
DDX3X,20862261,hepatitis C virus
DDX3X,25424537,hepatitis C virus (HCV)
DDX3X,36725983,herpes simplex
DDX3X,36744958,herpes simplex virus
DDX3X,28148788,herpes simplex virus 1
DDX3X,36725983,herpes simplex virus 1
DDX3X,31575075,human immunodeficiency virus type 1
DDX3X,25056374,human papilloma virus
DDX3X,31936642,human parainfluenza virus type 3
DDX3X,31575075,human parainfluenza virus-3
